market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
1198857,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,LMT,0.2-0.4,2,0.29,2026-01-29T12:20:00Z,2026-01-28,2026-01-29,2,0.06025367756368927,"CAR[0,1]",0,1
1198857,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,LMT,0.2-0.4,2,0.29,2026-01-29T12:20:00Z,2026-01-28,2026-01-29,4,0.05018755657828385,"CAR[0,3]",0,3
1198857,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,LMT,0.2-0.4,2,0.29,2026-01-29T12:20:00Z,2026-01-28,2026-01-29,6,0.018919329689457674,"CAR[0,5]",0,5
1244922,SBUX,sbux-quarterly-earnings-gaap-eps-01-28-2026-0pt58,SBUX.N,0.2-0.4,2,0.27,2026-01-28T12:45:00Z,2026-01-27,2026-01-28,11,0.034679715541103884,"CAR[-5,5]",-5,5
1244922,SBUX,sbux-quarterly-earnings-gaap-eps-01-28-2026-0pt58,SBUX.N,0.2-0.4,2,0.27,2026-01-28T12:45:00Z,2026-01-27,2026-01-28,1,-0.0043562674785164665,AR[0],0,0
1244922,SBUX,sbux-quarterly-earnings-gaap-eps-01-28-2026-0pt58,SBUX.N,0.2-0.4,2,0.27,2026-01-28T12:45:00Z,2026-01-27,2026-01-28,2,-0.016975717010314834,"CAR[0,1]",0,1
1244922,SBUX,sbux-quarterly-earnings-gaap-eps-01-28-2026-0pt58,SBUX.N,0.2-0.4,2,0.27,2026-01-28T12:45:00Z,2026-01-27,2026-01-28,4,-0.039821721210915394,"CAR[0,3]",0,3
1244922,SBUX,sbux-quarterly-earnings-gaap-eps-01-28-2026-0pt58,SBUX.N,0.2-0.4,2,0.27,2026-01-28T12:45:00Z,2026-01-27,2026-01-28,6,0.028497059546602567,"CAR[0,5]",0,5
1268877,RBLX,rblx-quarterly-earnings-gaap-eps-02-05-2026-neg0pt47,RBLX.N,0.2-0.4,2,0.33,2026-02-05T21:00:00Z,2026-02-05,2026-02-06,11,-0.11448117187552043,"CAR[-5,5]",-5,5
1268877,RBLX,rblx-quarterly-earnings-gaap-eps-02-05-2026-neg0pt47,RBLX.N,0.2-0.4,2,0.33,2026-02-05T21:00:00Z,2026-02-05,2026-02-06,1,0.07389358615731013,AR[0],0,0
