snapshot_label,variable,n,min,p25,mean,median,p75,max
1d,volatility_6m,634,0.009027083607946,0.0156465837426265,0.025355402542471893,0.0209111161591095,0.03058703212047225,0.15173449538734302
1d,volume_num,634,948.980932,7787.0622005000005,26980.922753943218,13456.858336500001,24092.34037125,995129.929459
12h,active_trading_hours,638,35.521388888888886,163.93847222222223,259.3230512016719,252.24180555555557,335.0386111111111,1326.8538888888888
12h,analysts_covering,635,1,13,22.289763779527558,22,29,71
12h,analysts_covering_asof,635,1,13,22.289763779527558,22,29,71
12h,horizon_seconds,638,43200,43200,43200,43200,43200,43200
12h,id,638,549606,647869.5,900014.1802507837,675509.5,1270374.25,1494761
12h,loss_dice,638,0.25,0.25,0.25,0.25,0.25,0.25
12h,loss_hist,638,0,0.053254437869822,0.19772838109889979,0.063224631628186,0.542677777777777,1
12h,loss_polymarket,638,2.499999999999449e-7,0.012099999999999,0.15130201606583035,0.049512499999999,0.17222500000000002,0.952576
12h,market_cap_usd,635,38579430.85,5082911651.48,150466751288.8173,23197670000,88642145478.38,4686255000000
12h,market_cap_usd_asof,635,38579430.85,5082911651.48,150466751288.8173,23197670000,88642145478.38,4686255000000
12h,outcome_yes,638,0,0,0.7335423197492164,1,1,1
12h,p_dice,638,0.5,0.5,0.5,0.5,0.5,0.5
12h,p_dice_0p5,638,0.5,0.5,0.5,0.5,0.5,0.5
12h,p_hist,638,0.5,0.7456140350877191,0.7691287977116226,0.756788581258191,0.7868658998736786,1
12h,p_hist_asof_end_minus_1d,638,0.5,0.7456140350877191,0.7691287977116226,0.756788581258191,0.7868658998736786,1
12h,p_polymarket_yes,638,5e-4,0.62,0.711032131661442,0.79,0.89,0.9995
12h,price_yes,638,5e-4,0.62,0.711032131661442,0.79,0.89,0.9995
12h,seconds_before_close,638,43127,43322.5,48709.959247648905,43433,43642,129448
12h,snapshot_offset_seconds,638,43200,43200,43200,43200,43200,43200
12h,turnover_6m_avg_daily_volume,634,319.7345132743363,71235.2312247984,3059058.3710244973,536632.6209062501,2826256.260393701,85155289.25
12h,turnover_6m_sum_volume,634,36130,9102164.75,385490371.318612,65875634.5,356837048,10899877024
12h,val_eikon_eps_stddev_estimate,631,0,0.02103,0.46543019017432646,0.04607000000000001,0.08813000000000001,220.97746
12h,val_surprise,632,-6.3629999999999995,0.01,1.1938296360759497,0.06,0.169999999999999,690.8643300000003
12h,volatility_6m,634,0.009027083607946,0.0156465837426265,0.025355402542471893,0.0209111161591095,0.03058703212047225,0.15173449538734302
12h,volume_num,634,948.980932,7787.0622005000005,26980.922753943218,13456.858336500001,24092.34037125,995129.929459
6h,active_trading_hours,639,9.336666666666666,163.74097222222224,258.9318362023996,250.73833333333334,335.03694444444443,1326.8538888888888
6h,analysts_covering,636,1,13,22.28616352201258,22,29,71
6h,analysts_covering_asof,636,1,13,22.28616352201258,22,29,71
6h,horizon_seconds,639,21600,21600,21600,21600,21600,21600
6h,id,639,549606,647870,900013.9671361502,675510,1269905.5,1494761
6h,loss_dice,639,0.25,0.25,0.25,0.25,0.25,0.25
6h,loss_hist,639,0,0.053254437869822,0.19832048880452566,0.063224631628186,0.5430069726384901,1
6h,loss_polymarket,639,2.499999999999449e-7,0.006399999999999,0.13220970618153333,0.034225,0.1501625,0.96138025
6h,market_cap_usd,636,38579430.85,4978670922.0199995,150235466823.5911,23127843848.379997,88472799126.67,4686255000000
6h,market_cap_usd_asof,636,38579430.85,4978670922.0199995,150235466823.5911,23127843848.379997,88472799126.67,4686255000000
6h,outcome_yes,639,0,0,0.7323943661971831,1,1,1
6h,p_dice,639,0.5,0.5,0.5,0.5,0.5,0.5
6h,p_dice_0p5,639,0.5,0.5,0.5,0.5,0.5,0.5
6h,p_hist,639,0.5,0.7456140350877191,0.7691129510330177,0.756880733944954,0.7867495512266471,1
6h,p_hist_asof_end_minus_1d,639,0.5,0.7456140350877191,0.7691129510330177,0.756880733944954,0.7867495512266471,1
6h,p_polymarket_yes,639,5e-4,0.5775,0.7169037558685446,0.81,0.915,0.9995
6h,price_yes,639,5e-4,0.5775,0.7169037558685446,0.81,0.915,0.9995
6h,seconds_before_close,639,21527,21719.5,27409.661971830985,21837,22043,119775
6h,snapshot_offset_seconds,639,21600,21600,21600,21600,21600,21600
6h,turnover_6m_avg_daily_volume,635,319.7345132743363,71035.51222278226,3054275.4297991255,532718.984,2823058.6407874012,85155289.25
6h,turnover_6m_sum_volume,635,36130,9046057.5,384887678.0062992,65822852,355957844,10899877024
6h,val_eikon_eps_stddev_estimate,632,0,0.0209175,0.4646993670886076,0.04594500000000001,0.088045,220.97746
6h,val_surprise,633,-6.3629999999999995,0.01,1.1919278515007903,0.06,0.169999999999999,690.8643300000003
6h,volatility_6m,635,0.009027083607946,0.015649857301599998,0.025362680286327537,0.020936387934278,0.0305795400937525,0.15173449538734302
6h,volume_num,635,948.980932,7757.414705,26944.054593064568,13380.224797,24081.114645499998,995129.929459
