"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"Fractional logit","Mean loss | Ex-ante","log_turnover",0.0436149609863134,0.0275265071031749,1.58447131787683,0.113086503674026,-0.00995122083904694,0.0987084916066083,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Ex-ante",-0.00995122083904694,0.0987084916066083,25000,25000,-0.0103360015560953,0.0975659235287221,"Mean loss | Ex-ante"
"Fractional logit","Mean loss | Ex-ante","log_volatility_6m",-6.94839328419072,6.30923500007703,-1.10130519533761,0.270763850797911,-19.6077561376353,4.97664380515938,"","log(6m stock volatility)","Mean loss across selected horizons","Ex-ante",-19.6077561376353,4.97664380515938,25000,25000,-19.3142666543412,5.41748008595982,"Mean loss | Ex-ante"
"Fractional logit","Mean loss | Ex-ante","open_time_days",-0.00379824952855532,0.015443915727504,-0.245938244909679,0.805730037712581,-0.0340959294448187,0.0261939085044371,"","Market open-to-resolution (days)","Mean loss across selected horizons","Ex-ante",-0.0340959294448187,0.0261939085044371,25000,25000,-0.0340677681347349,0.0264712690776243,"Mean loss | Ex-ante"
"Fractional logit","Mean loss | Full","log_volume",0.0843020646390514,0.227222369353489,0.371011291181032,0.710629121823266,-0.338330773413365,0.534157168776434,"","log(Polymarket volume + 1)","Mean loss across selected horizons","Full",-0.338330773413365,0.534157168776434,25000,25000,-0.361045595775645,0.529649725053748,"Mean loss | Full"
"Fractional logit","Mean loss | Full","log_volume_per_analyst",0.0789758280094429,0.204314670145712,0.386540173317557,0.699096656066301,-0.329904519502246,0.451700019060931,"","log(Polymarket volume / analysts + 1)","Mean loss across selected horizons","Full",-0.329904519502246,0.451700019060931,25000,25000,-0.321473566989333,0.479425223008218,"Mean loss | Full"
"Fractional logit","Mean loss | Full","eps_stddev",1.78423749069426,0.752062305920224,2.37245967075968,0.0176700920449428,0.355908137662594,3.28922431729852,"**","Std. dev. of analyst estimates","Mean loss across selected horizons","Full",0.355908137662594,3.28922431729852,25000,25000,0.310222456960475,3.25825252442804,"Mean loss | Full"
"Fractional logit","Mean loss | Full","surprise",-2.6987769435831,0.374082302839751,-7.2143935254248,0.000000000000541748769264568,-3.49198458153802,-2.03603092060073,"***","Earnings surprise","Mean loss across selected horizons","Full",-3.49198458153802,-2.03603092060073,25000,25000,-3.43196478440282,-1.96558910276338,"Mean loss | Full"
"Fractional logit","Mean loss | Full","log_market_cap",-0.0880081837540931,0.0585193343749225,-1.50391634994071,0.132602906608896,-0.20449324394007,0.0237149437106957,"","log(Market cap)","Mean loss across selected horizons","Full",-0.20449324394007,0.0237149437106957,25000,25000,-0.202703971528198,0.0266876040200116,"Mean loss | Full"
"Fractional logit","Mean loss | Full","analysts",0.00464442893979922,0.0127100594473646,0.365413628396698,0.714802669607574,-0.0209431770061452,0.0282786089368945,"","Analysts covering","Mean loss across selected horizons","Full",-0.0209431770061452,0.0282786089368945,25000,25000,-0.0202668298183984,0.0295556876979968,"Mean loss | Full"
"Fractional logit","Mean loss | Full","log_turnover",0.0455148439231772,0.0293025494178749,1.55327249087114,0.12035804937833,-0.00943826337316258,0.104147713264177,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Full",-0.00943826337316258,0.104147713264177,25000,25000,-0.0119170975910628,0.102946785437417,"Mean loss | Full"
