"market_id","n_snapshots","loss_mean","loss_target","volumeNum","volume_per_analyst","val_eikon_eps_stddev_estimate","val_surprise","market_cap_usd_asof","analysts_covering_asof","turnover_6m_avg_daily_volume","volatility_6m","open_time_days","log_volume","log_volume_per_analyst","eps_stddev","surprise","log_market_cap","analysts","log_turnover","log_volatility_6m","firm_id","firm_market_number","prior_markets_for_firm","post_first_market"
"658526",8,0.11598125,0.1089,7799.572031,2599.85734366667,0.04321,0.261,66854568.88,3,16196.8125,0.063873827708613,6.16836805555556,8.96195234729633,7.8635964172189,0.04321,0.261,20.1007726202039,3,9.69263148123879,0.0521584717253257,"BIRD",1,0,0
"658547",8,0.199678125,0.308025,1336.252219,1336.252219,0,-0.14,60648834.62,1,51088.9140625,0.039070402547883,6.2153587962963,8.23764894232911,7.19837220478557,0.006301,-0.14,20.1007726202039,3,10.8413423802428,0.038326469732832,"BZFD",1,0,0
"658568",8,0.05451875,0.00562499999999999,12921.734793,615.320704428571,0.03274,0.119999999999999,105924893915.25,21,3825740.578125,0.020608335126098,6.78290509259259,9.46674342622222,6.42376745212818,0.03274,0.119999999999999,25.3859961319504,21,15.1572628830851,0.0203988565025862,"KKR",1,0,0
"658579",2,0.2475125,0.245025,1384.0051,461.335033333333,220.97746,690.86433,1029915706578.06,3,383.9296875,0.009127016092789,4.09830324074074,8.23764894232911,6.13628980864068,0.334929,0.62,26.8640512231621,3,9.28714543357954,0.0116712063567068,"BRK.A",1,0,0
"658589",7,0.582253571428571,0.7921,58468.980582,2436.20752425,0.0461,0.159999999999999,15353692289.32,24,93662.6953125,0.027821665118219,5.72172453703704,10.9762687490677,7.79860820562134,0.0461,0.159999999999999,23.4546218220754,24,11.4474659365023,0.0274416744725493,"CELH",1,0,0
"658619",8,0.1478125,0.050625,21514.79079,1955.89007181818,0.01602,0.08,11857290400.8,11,4325168.3515625,0.014800531187118,6.81693287037037,9.97654239988425,7.57911179403411,0.01602,0.08,23.1962087390512,11,15.2799618540122,0.0146920721830558,"BEN",1,0,0
"658624",8,0.128365625,0.105625,18345.98631,1146.624144375,0.03645,0.159999999999999,5984612788,16,9601.3984375,0.017266259506936,6.69512731481481,9.8172206062074,7.0454491229021,0.03645,0.159999999999999,22.5124574767874,16,9.28714543357954,0.0171188915585398,"MKTX",1,0,0
"658859",4,0.3416875,0.403225,9762.898791,697.349913642857,0.07142,0.12,1971648663.01,14,145881.716535433,0.028959389172417,4.09830324074074,9.1864470659327,6.54872028609294,0.07142,0.12,21.4021359144801,14,11.8905582664618,0.0285479897683521,"GT",1,0,0
"658905",8,0.232159375,0.378225,18789.336584,647.908158068966,0.00974,0.039999999999999,1728285211.48,29,133757.1875,0.020770288632065,6.66417824074074,9.84109800517949,6.47529119369937,0.00974,0.039999999999999,21.2703955466484,29,11.803788877838,0.0205575272209154,"WEN",1,0,0
"658909",6,0.0846291666666667,0.2401,3161.523883,451.646269,0.02919,-0.34,1287488338.11,7,15025730.5625,0.037325910354559,5.07575231481481,8.23764894232911,6.11511095731596,0.02919,-0.31,20.9759591326825,7,16.4433774877375,0.0366461617945651,"AMC",1,0,0
